working_copy	path	status	expected_bytes	expected_sha256	actual_bytes	actual_sha256
tmp/quantecon-build-work-native-offline-20260822a	environment.yml	unchanged	360	59333ddfb1babbcb70bc87f8bbfaa217df67b45392bdcd3882b057124ee190c4	360	59333ddfb1babbcb70bc87f8bbfaa217df67b45392bdcd3882b057124ee190c4
tmp/quantecon-build-work-native-offline-20260822a	lectures/_config.yml	unchanged	4532	511296b5e4cacaec2bc3806791463fccb40dac0a784100b1ab53e69df818eab6	4532	511296b5e4cacaec2bc3806791463fccb40dac0a784100b1ab53e69df818eab6
tmp/quantecon-build-work-native-offline-20260822a	lectures/_static/lecture_specific/markov_prop/flow_fig.png	modified-by-native-execution	104771	54906c3f6f48664960d25ead98af1150014e88367db1d604f6ccc9d01e50564f	95812	41489f014d855a738086a4c9d13e2c892664a573e66425a93d030eb207d839e8
tmp/quantecon-build-work-native-offline-20260822a	lectures/_static/qe-logo-large.png	unchanged	1351	a694fd0f5c18dbcfe4b68ccb9e31a1b7e0441233b1ef3f7257eace1e892c5550	1351	a694fd0f5c18dbcfe4b68ccb9e31a1b7e0441233b1ef3f7257eace1e892c5550
tmp/quantecon-build-work-native-offline-20260822a	lectures/_toc.yml	unchanged	283	4434e49e0dea64592dfe71c0f8d989157adf97b2dbff1208e1ab38c952076979	283	4434e49e0dea64592dfe71c0f8d989157adf97b2dbff1208e1ab38c952076979
tmp/quantecon-build-work-native-offline-20260822a	lectures/ergodicity.md	unchanged	18548	01c8f94e8016119107d6a3c14e688a0c1ed71690f678a2ae252703f7abccba84	18548	01c8f94e8016119107d6a3c14e688a0c1ed71690f678a2ae252703f7abccba84
tmp/quantecon-build-work-native-offline-20260822a	lectures/generators.md	unchanged	16818	035caa76ccc07622b6d0564f7b72a2f02a2b5d276e2848a3612f9414232d6736	16818	035caa76ccc07622b6d0564f7b72a2f02a2b5d276e2848a3612f9414232d6736
tmp/quantecon-build-work-native-offline-20260822a	lectures/intro.md	unchanged	924	26bc9b7624e950f5bf29febc6382272ccf68fd158c9ac0d92bcb2d4d3675186a	924	26bc9b7624e950f5bf29febc6382272ccf68fd158c9ac0d92bcb2d4d3675186a
tmp/quantecon-build-work-native-offline-20260822a	lectures/kolmogorov_bwd.md	unchanged	16808	ea2ada6e9eabe30fb2088d3e218076b4f949662649e2aef4b30c2cd59d090149	16808	ea2ada6e9eabe30fb2088d3e218076b4f949662649e2aef4b30c2cd59d090149
tmp/quantecon-build-work-native-offline-20260822a	lectures/kolmogorov_fwd.md	unchanged	16943	21c694175c28885477fc77b62e8f6a38c8f1d80bbe61cf40c144d285aa6e4b03	16943	21c694175c28885477fc77b62e8f6a38c8f1d80bbe61cf40c144d285aa6e4b03
tmp/quantecon-build-work-native-offline-20260822a	lectures/markov_prop.md	unchanged	31134	0380ca588468e4185391e8bf5d2d207978a958a6c954029f41399473d9d6f545	31134	0380ca588468e4185391e8bf5d2d207978a958a6c954029f41399473d9d6f545
