langkah,p0,p1,p2
0,0.000000000000,0.000000000000,1.000000000000
1,0.100000000000,0.100000000000,0.800000000000
2,0.210000000000,0.130000000000,0.660000000000
3,0.307000000000,0.139000000000,0.554000000000
4,0.387300000000,0.141700000000,0.471000000000
5,0.452350000000,0.142510000000,0.405140000000
6,0.504633000000,0.142753000000,0.352614000000
7,0.546532300000,0.142825900000,0.310641800000
8,0.580073610000,0.142847770000,0.277078620000
9,0.606913219000,0.142854331000,0.250232450000
10,0.628386874500,0.142856299300,0.228756826200
11,0.645566389390,0.142856889790,0.211576720820
12,0.659310178449,0.142857066937,0.197832754614
13,0.670305262840,0.142857120081,0.186837617079
