lintasan,langkah,waktu,p0,p1,p2
sudut-0,0,0.000,0.010000000000,0.010000000000,0.980000000000
sudut-0,1,0.001,0.013903407043,0.015810153400,0.970286439557
sudut-0,2,0.002,0.017773835286,0.021541283093,0.960684881621
sudut-0,3,0.003,0.021611593024,0.027194384153,0.951194022823
sudut-0,4,0.004,0.025416985416,0.032770439550,0.941812575034
sudut-0,5,0.005,0.029190314521,0.038270420290,0.932539265189
sudut-0,6,0.006,0.032931879327,0.043695285562,0.923372835111
sudut-0,7,0.007,0.036641975788,0.049045982878,0.914312041334
sudut-0,8,0.008,0.040320896853,0.054323448215,0.905355654932
sudut-0,9,0.009,0.043968932503,0.059528606149,0.896502461348
sudut-0,10,0.010,0.047586369780,0.064662369994,0.887751260226
sudut-0,11,0.011,0.051173492817,0.069725641939,0.879100865245
sudut-0,12,0.012,0.054730582873,0.074719313174,0.870550103953
sudut-0,13,0.013,0.058257918364,0.079644264032,0.862097817605
sudut-0,14,0.014,0.061755774889,0.084501364109,0.853742861002
sudut-0,15,0.015,0.065224425265,0.089291472399,0.845484102336
sudut-0,16,0.016,0.068664139555,0.094015437419,0.837320423026
sudut-0,17,0.017,0.072075185098,0.098674097335,0.829250717567
sudut-0,18,0.018,0.075457826538,0.103268280084,0.821273893378
sudut-0,19,0.019,0.078812325851,0.107798803500,0.813388870649
sudut-0,20,0.020,0.082138942379,0.112266475431,0.805594582190
sudut-0,21,0.021,0.085437932852,0.116672093864,0.797889973284
sudut-0,22,0.022,0.088709551420,0.121016447037,0.790274001542
sudut-0,23,0.023,0.091954049680,0.125300313562,0.782745636758
sudut-0,24,0.024,0.095171676703,0.129524462533,0.775303860764
sudut-0,25,0.025,0.098362679058,0.133689653649,0.767947667293
sudut-0,26,0.026,0.101527300845,0.137796637321,0.760676061834
sudut-0,27,0.027,0.104665783718,0.141846154782,0.753488061501
sudut-0,28,0.028,0.107778366907,0.145838938202,0.746382694890
sudut-0,29,0.029,0.110865287254,0.149775710795,0.739359001951
sudut-0,30,0.030,0.113926779229,0.153657186924,0.732416033847
sudut-0,31,0.031,0.116963074959,0.157484072209,0.725552852832
sudut-0,32,0.032,0.119974404255,0.161257063634,0.718768532112
sudut-0,33,0.033,0.122960994631,0.164976849646,0.712062155723
sudut-0,34,0.034,0.125923071337,0.168644110261,0.705432818402
sudut-0,35,0.035,0.128860857375,0.172259517166,0.698879625459
sudut-0,36,0.036,0.131774573526,0.175823733814,0.692401692660
sudut-0,37,0.037,0.134664438375,0.179337415529,0.685998146095
sudut-0,38,0.038,0.137530668335,0.182801209599,0.679668122066
sudut-0,39,0.039,0.140373477664,0.186215755375,0.673410766962
sudut-0,40,0.040,0.143193078495,0.189581684365,0.667225237140
sudut-0,41,0.041,0.145989680856,0.192899620329,0.661110698815
sudut-0,42,0.042,0.148763492692,0.196170179372,0.655066327935
sudut-0,43,0.043,0.151514719887,0.199393970037,0.649091310076
sudut-0,44,0.044,0.154243566285,0.202571593393,0.643184840323
sudut-0,45,0.045,0.156950233714,0.205703643126,0.637346123160
sudut-0,46,0.046,0.159634922006,0.208790705632,0.631574372362
sudut-0,47,0.047,0.162297829020,0.211833360097,0.625868810883
sudut-0,48,0.048,0.164939150658,0.214832178589,0.620228670753
sudut-0,49,0.049,0.167559080890,0.217787726144,0.614653192966
sudut-0,50,0.050,0.170157811775,0.220700560845,0.609141627379
sudut-0,51,0.051,0.172735533479,0.223571233915,0.603693232607
sudut-0,52,0.052,0.175292434293,0.226400289788,0.598307275919
sudut-0,53,0.053,0.177828700659,0.229188266201,0.592983033140
sudut-0,54,0.054,0.180344517184,0.231935694269,0.587719788547
sudut-0,55,0.055,0.182840066661,0.234643098566,0.582516834774
sudut-0,56,0.056,0.185315530089,0.237310997202,0.577373472709
sudut-0,57,0.057,0.187771086692,0.239939901906,0.572289011402
sudut-0,58,0.058,0.190206913936,0.242530318096,0.567262767968
sudut-0,59,0.059,0.192623187549,0.245082744961,0.562294067490
sudut-0,60,0.060,0.195020081538,0.247597675532,0.557382242930
sudut-0,61,0.061,0.197397768210,0.250075596757,0.552526635033
sudut-0,62,0.062,0.199756418185,0.252516989576,0.547726592239
sudut-0,63,0.063,0.202096200418,0.254922328993,0.542981470589
sudut-0,64,0.064,0.204417282216,0.257292084144,0.538290633640
sudut-0,65,0.065,0.206719829253,0.259626718373,0.533653452374
sudut-0,66,0.066,0.209004005589,0.261926689298,0.529069305113
sudut-0,67,0.067,0.211269973686,0.264192448882,0.524537577432
sudut-0,68,0.068,0.213517894425,0.266424443500,0.520057662074
sudut-0,69,0.069,0.215747927124,0.268623114008,0.515628958868
sudut-0,70,0.070,0.217960229551,0.270788895807,0.511250874642
sudut-0,71,0.071,0.220154957944,0.272922218911,0.506922823146
sudut-0,72,0.072,0.222332267025,0.275023508010,0.502644224965
sudut-0,73,0.073,0.224492310015,0.277093182539,0.498414507446
sudut-0,74,0.074,0.226635238653,0.279131656734,0.494233104613
sudut-0,75,0.075,0.228761203207,0.281139339701,0.490099457092
sudut-0,76,0.076,0.230870352493,0.283116635474,0.486013012033
sudut-0,77,0.077,0.232962833889,0.285063943080,0.481973223031
sudut-0,78,0.078,0.235038793348,0.286981656596,0.477979550056
sudut-0,79,0.079,0.237098375417,0.288870165209,0.474031459374
sudut-0,80,0.080,0.239141723248,0.290729853278,0.470128423473
sudut-0,81,0.081,0.241168978615,0.292561100390,0.466269920995
sudut-0,82,0.082,0.243180281924,0.294364281418,0.462455436658
sudut-0,83,0.083,0.245175772234,0.296139766579,0.458684461188
sudut-0,84,0.084,0.247155587265,0.297887921486,0.454956491249
sudut-0,85,0.085,0.249119863416,0.299609107213,0.451271029371
sudut-0,86,0.086,0.251068735776,0.301303680338,0.447627583887
sudut-0,87,0.087,0.253002338138,0.302971993007,0.444025668856
sudut-0,88,0.088,0.254920803014,0.304614392982,0.440464804004
sudut-0,89,0.089,0.256824261647,0.306231223699,0.436944514654
sudut-0,90,0.090,0.258712844025,0.307822824313,0.433464331663
sudut-0,91,0.091,0.260586678891,0.309389529757,0.430023791352
sudut-0,92,0.092,0.262445893762,0.310931670789,0.426622435449
sudut-0,93,0.093,0.264290614935,0.312449574045,0.423259811020
sudut-0,94,0.094,0.266120967503,0.313943562087,0.419935470409
sudut-0,95,0.095,0.267937075369,0.315413953453,0.416648971178
sudut-0,96,0.096,0.269739061253,0.316861062705,0.413399876042
sudut-0,97,0.097,0.271527046710,0.318285200479,0.410187752811
sudut-0,98,0.098,0.273301152139,0.319686673531,0.407012174330
sudut-0,99,0.099,0.275061496796,0.321065784785,0.403872718420
sudut-0,100,0.100,0.276808198802,0.322422833377,0.400768967821
sudut-0,101,0.101,0.278541375161,0.323758114707,0.397700510132
sudut-0,102,0.102,0.280261141768,0.325071920476,0.394666937757
sudut-0,103,0.103,0.281967613419,0.326364538736,0.391667847845
sudut-0,104,0.104,0.283660903826,0.327636253935,0.388702842239
sudut-0,105,0.105,0.285341125625,0.328887346958,0.385771527417
sudut-0,106,0.106,0.287008390388,0.330118095170,0.382873514442
sudut-0,107,0.107,0.288662808635,0.331328772463,0.380008418903
sudut-0,108,0.108,0.290304489842,0.332519649291,0.377175860867
sudut-0,109,0.109,0.291933542456,0.333690992720,0.374375464824
sudut-0,110,0.110,0.293550073902,0.334843066461,0.371606859637
sudut-0,111,0.111,0.295154190593,0.335976130919,0.368869678488
sudut-0,112,0.112,0.296745997944,0.337090443226,0.366163558830
sudut-0,113,0.113,0.298325600379,0.338186257285,0.363488142336
sudut-0,114,0.114,0.299893101343,0.339263823806,0.360843074851
sudut-0,115,0.115,0.301448603310,0.340323390348,0.358228006341
sudut-0,116,0.116,0.302992207795,0.341365201358,0.355642590847
sudut-0,117,0.117,0.304524015362,0.342389498203,0.353086486434
sudut-0,118,0.118,0.306044125636,0.343396519215,0.350559355149
sudut-0,119,0.119,0.307552637309,0.344386499722,0.348060862969
sudut-0,120,0.120,0.309049648152,0.345359672087,0.345590679761
sudut-0,121,0.121,0.310535255026,0.346316265744,0.343148479230
sudut-0,122,0.122,0.312009553886,0.347256507235,0.340733938879
sudut-0,123,0.123,0.313472639796,0.348180620242,0.338346739962
sudut-0,124,0.124,0.314924606935,0.349088825624,0.335986567441
sudut-0,125,0.125,0.316365548604,0.349981341451,0.333653109945
sudut-0,126,0.126,0.317795557240,0.350858383039,0.331346059721
sudut-0,127,0.127,0.319214724420,0.351720162981,0.329065112599
sudut-0,128,0.128,0.320623140874,0.352566891182,0.326809967944
sudut-0,129,0.129,0.322020896489,0.353398774892,0.324580328619
sudut-0,130,0.130,0.323408080321,0.354216018737,0.322375900942
sudut-0,131,0.131,0.324784780601,0.355018824753,0.320196394645
sudut-0,132,0.132,0.326151084747,0.355807392416,0.318041522837
sudut-0,133,0.133,0.327507079366,0.356581918673,0.315911001961
sudut-0,134,0.134,0.328852850269,0.357342597974,0.313804551757
sudut-0,135,0.135,0.330188482475,0.358089622302,0.311721895223
sudut-0,136,0.136,0.331514060219,0.358823181202,0.309662758579
sudut-0,137,0.137,0.332829666961,0.359543461815,0.307626871224
sudut-0,138,0.138,0.334135385395,0.360250648900,0.305613965705
sudut-0,139,0.139,0.335431297453,0.360944924872,0.303623777676
sudut-0,140,0.140,0.336717484316,0.361626469821,0.301656045863
sudut-0,141,0.141,0.337994026422,0.362295461549,0.299710512030
sudut-0,142,0.142,0.339261003468,0.362952075593,0.297786920939
sudut-0,143,0.143,0.340518494424,0.363596485255,0.295885020321
sudut-0,144,0.144,0.341766577538,0.364228861628,0.294004560834
sudut-0,145,0.145,0.343005330341,0.364849373622,0.292145296037
sudut-0,146,0.146,0.344234829656,0.365458187994,0.290306982349
sudut-0,147,0.147,0.345455151608,0.366055469373,0.288489379020
sudut-0,148,0.148,0.346666371623,0.366641380283,0.286692248094
sudut-0,149,0.149,0.347868564444,0.367216081173,0.284915354383
sudut-0,150,0.150,0.349061804133,0.367779730441,0.283158465426
sudut-0,151,0.151,0.350246164077,0.368332484459,0.281421351465
sudut-0,152,0.152,0.351421716997,0.368874497596,0.279703785407
sudut-0,153,0.153,0.352588534955,0.369405922246,0.278005542799
sudut-0,154,0.154,0.353746689357,0.369926908851,0.276326401792
sudut-0,155,0.155,0.354896250965,0.370437605922,0.274666143113
sudut-0,156,0.156,0.356037289899,0.370938160067,0.273024550034
sudut-0,157,0.157,0.357169875644,0.371428716012,0.271401408344
sudut-0,158,0.158,0.358294077057,0.371909416625,0.269796506319
sudut-0,159,0.159,0.359409962374,0.372380402937,0.268209634689
